alevpkg,alevmaj,alevmin,alevpatch,alevseq,alevdate
geocall.core,9,1,0,'20200804',2022-09-16T18:47:34.197093
geocall.base,9,1,0,'20200804',2022-09-16T18:47:34.511435
geocall.mm,9,1,0,'20200804',2022-09-16T18:47:34.654082
geocall.ws,9,1,0,'20200804',2022-09-16T18:47:34.691675
geocall.core,9,1,0,'20200805',2022-09-16T18:47:34.74795
geocall.core,9,1,12,'20210517',2022-09-16T18:47:34.757528
geocall.core,9,1,17,'20210207',2022-09-16T18:47:34.772421
geocall.base,9,1,31,'20220311',2022-09-16T18:47:34.785191
geocall.core,9,1,41,'20220630',2022-09-16T18:47:34.8351
geocall.mm,9,1,52,'20220901',2022-09-16T18:47:34.85364
geocall.base,9,2,18,'20220304',2022-09-16T18:47:34.863635
geocall.securitylog,9,2,26,'20220617',2022-09-16T18:47:34.898678
geocall.core,9,2,27,'20220713',2022-09-16T18:47:34.91691
geocall.core,9,2,30,'20220807',2022-09-16T18:47:34.932874
geocall.base,9,3,0,'20220118',2022-09-16T18:47:34.941134
geocall.core,10,0,0,'20210505',2022-09-16T18:47:34.952228
geocall.core,10,0,0,'20211122',2022-09-16T18:47:34.968279
geocall.core,10,0,0,'20220111',2022-09-16T18:47:34.993831
geocall.base,10,0,0,'20220208',2022-09-16T18:47:35.003053
geocall.base,10,0,0,'20220310',2022-09-16T18:47:35.02595
geocall.base,10,0,0,'20220516',2022-09-16T18:47:35.047701
